i,j,value
0,1,"_"
0,10,"_"
0,19,"_"
0,21,"_"
0,29,"_"
0,35,"_"
0,41,"_"
0,47,"_"
1,0,"|"
1,2,"|"
1,9,"|"
1,11,"|"
1,18,"|"
1,20,"|"
1,22,"|"
1,28,"|"
1,30,"|"
1,34,"("
1,35,"_"
1,36,")"
1,40,"|"
1,42,"|"
1,46,"|"
1,48,"|"
2,0,"|"
2,2,"|"
2,3,"_"
2,5,"_"
2,6,"_"
2,7,"_"
2,9,"|"
2,11,"|"
2,12,"_"
2,14,"_"
2,15,"_"
2,17,"_"
2,18,"|"
2,20,"|"
2,22,"|"
2,23,"_"
2,27,"_"
2,28,"|"
2,30,"|"
2,31,"_"
2,32,"_"
2,35,"_"
2,38,"_"
2,39,"_"
2,40,"|"
2,42,"|"
2,44,"_"
2,45,"_"
2,46,"|"
2,48,"|"
2,50,"_"
2,51,"_"
2,52,"_"
2,54,"_"
2,56,"_"
2,57,"_"
3,0,"|"
3,2,"_"
3,3,"_"
3,4,"/"
3,6,"_"
3,8,"\\"
3,9,"|"
3,11,"_"
3,12,"_"
3,13,"/"
3,15,"_"
3,16,"`"
3,18,"|"
3,20,"|"
3,22,"|"
3,24,"|"
3,26,"|"
3,28,"|"
3,30,"'"
3,31,"_"
3,33,"\\"
3,34,"|"
3,36,"|"
3,37,"/"
3,39,"_"
3,40,"`"
3,42,"|"
3,43,"/"
3,45,"_"
3,46,"`"
3,48,"|"
3,49,"/"
3,51,"_"
3,53,"\\"
3,55,"'"
3,56,"_"
3,58,"\\"
4,0,"|"
4,2,"|"
4,3,"|"
4,5,"("
4,6,"_"
4,7,")"
4,9,"|"
4,11,"|"
4,12,"|"
4,14,"("
4,15,"_"
4,16,"|"
4,18,"|"
4,20,"|"
4,22,"|"
4,24,"|"
4,25,"_"
4,26,"|"
4,28,"|"
4,30,"|"
4,32,"|"
4,34,"|"
4,36,"|"
4,38,"("
4,39,"_"
4,40,"|"
4,42,"|"
4,44,"("
4,45,"_"
4,46,"|"
4,48,"|"
4,51,"_"
4,52,"_"
4,53,"/"
4,55,"|"
4,57,"|"
4,59,"|"
5,1,"\\"
5,2,"_"
5,3,"_"
5,4,"\\"
5,5,"_"
5,6,"_"
5,7,"_"
5,8,"/"
5,10,"\\"
5,11,"_"
5,12,"_"
5,13,"\\"
5,14,"_"
5,15,"_"
5,16,","
5,17,"_"
5,18,"|"
5,19,"_"
5,20,"|"
5,21,"_"
5,22,"|"
5,23,"\\"
5,24,"_"
5,25,"_"
5,26,","
5,28,"|"
5,29,"_"
5,30,"|"
5,32,"|"
5,33,"_"
5,34,"|"
5,35,"_"
5,36,"|"
5,37,"\\"
5,38,"_"
5,39,"_"
5,40,","
5,41,"_"
5,42,"|"
5,43,"\\"
5,44,"_"
5,45,"_"
5,46,","
5,47,"_"
5,48,"|"
5,49,"\\"
5,50,"_"
5,51,"_"
5,52,"_"
5,53,"|"
5,54,"_"
5,55,"|"
5,57,"|"
5,58,"_"
5,59,"|"
6,24,"_"
6,25,"_"
6,26,"/"
6,28,"|"
7,23,"|"
7,24,"_"
7,25,"_"
7,26,"_"
7,27,"/"
